Record Number	Action Type	Action Time	End Time	User Name	Display Name	Duration
25877	Incoming Call	7/22/2015 22:55	7/22/2015 23:57	skyper1	Skyper 1	1.04
29538	Incoming Call	9/7/2015 2:29	9/7/2015 3:32	skyper1	Skyper 1	1.03
35785	Incoming Call	10/29/2015 0:38	10/29/2015 1:39	skyper1	Skyper 1	1.02
44766	Incoming Call	1/21/2016 21:25	1/21/2016 22:25	skyper1	Skyper 1	0.99
30051	Incoming Call	9/10/2015 19:35	9/10/2015 20:32	skyper1	Skyper 1	0.94
26830	Incoming Call	7/30/2015 20:51	7/30/2015 21:47	skyper1	Skyper 1	0.94
20926	Incoming Call	5/4/2015 22:11	5/4/2015 23:08	skyper1	Skyper 1	0.94
52626	Incoming Call	3/22/2016 17:17	3/22/2016 18:13	skyper1	Skyper 1	0.92
38194	Incoming Call	11/19/2015 0:48	11/19/2015 1:43	skyper1	Skyper 1	0.92
23872	Incoming Call	6/18/2015 0:36	6/18/2015 1:32	skyper1	Skyper 1	0.92
37789	Incoming Call	11/14/2015 13:27	11/14/2015 14:21	skyper1	Skyper 1	0.9
52819	Incoming Call	3/24/2016 12:07	3/24/2016 13:00	skyper1	Skyper 1	0.89
49065	Outgoing Call	2/24/2016 20:57	2/24/2016 21:50	skyper1	Skyper 1	0.89
36677	Incoming Call	11/5/2015 0:01	11/5/2015 0:54	skyper1	Skyper 1	0.88
29136	Incoming Call	9/3/2015 0:29	9/3/2015 1:22	skyper1	Skyper 1	0.87
38382	Incoming Call	11/21/2015 17:30	11/21/2015 18:23	skyper1	Skyper 1	0.87
34653	Incoming Call	10/16/2015 17:42	10/16/2015 18:34	skyper1	Skyper 1	0.87
34162	Incoming Call	10/13/2015 19:03	10/13/2015 19:54	skyper1	Skyper 1	0.85
43959	Incoming Call	1/17/2016 0:12	1/17/2016 1:03	skyper1	Skyper 1	0.85
29153	Incoming Call	9/3/2015 1:22	9/3/2015 2:13	skyper1	Skyper 1	0.85
21002	Incoming Call	5/6/2015 1:01	5/6/2015 1:52	skyper1	Skyper 1	0.84
29337	Incoming Call	9/5/2015 17:19	9/5/2015 18:09	skyper1	Skyper 1	0.82
52235	Incoming Call	3/20/2016 2:19	3/20/2016 3:08	skyper1	Skyper 1	0.82
17344	Outgoing Call	2/5/2015 1:19	2/5/2015 2:08	skyper1	Skyper 1	0.81
27553	Incoming Call	8/6/2015 19:31	8/6/2015 20:20	skyper1	Skyper 1	0.81
22390	Incoming Call	5/30/2015 21:50	5/30/2015 22:38	skyper1	Skyper 1	0.81
50888	Incoming Call	3/6/2016 2:01	3/6/2016 2:49	skyper1	Skyper 1	0.8
20552	Incoming Call	4/25/2015 16:36	4/25/2015 17:24	skyper1	Skyper 1	0.79
48728	Incoming Call	2/22/2016 2:20	2/22/2016 3:07	skyper1	Skyper 1	0.79
15374	Outgoing Call	1/23/2015 20:54	1/23/2015 21:41	skyper1	Skyper 1	0.78
41097	Incoming Call	1/13/2016 21:07	1/13/2016 21:53	skyper1	Skyper 1	0.77
33899	Incoming Call	10/7/2015 20:39	10/7/2015 21:24	skyper1	Skyper 1	0.76
10232	Incoming Call	11/7/2014 21:47	11/7/2014 22:32	skyper1	Skyper 1	0.76
