Time	Author	Message	Skype Name
8/26/2014 18:27	Skyper 1	…	skyper1
8/26/2014 18:27	Skyper 1	…	skyper1
8/26/2014 19:48	Skyper 2	…	skyper2
8/26/2014 19:48	Skyper 2	…	skyper2
8/26/2014 19:48	Skyper 2	…	skyper2
8/26/2014 19:48	Skyper 2	…	skyper2
8/26/2014 19:49	Skyper 2	…	skyper2
8/26/2014 19:49	Skyper 2	…	skyper2
8/26/2014 19:49	Skyper 1	…	skyper1
8/26/2014 19:51	Skyper 1	…	skyper1
8/26/2014 19:51	Skyper 2	…	skyper2
8/26/2014 19:51	Skyper 2	…	skyper2
8/26/2014 19:51	Skyper 2	…	skyper2
8/26/2014 19:51	Skyper 2	…	skyper2
8/26/2014 19:51	Skyper 2	…	skyper2
8/26/2014 19:52	Skyper 1	…	skyper1
8/26/2014 19:56	Skyper 1	…	skyper1
8/26/2014 19:56	Skyper 2	…	skyper2
8/26/2014 19:58	Skyper 1	…	skyper1
8/26/2014 21:02	Skyper 2	…	skyper2
8/26/2014 21:02	Skyper 2	…	skyper2
8/26/2014 21:02	Skyper 2	…	skyper2
8/26/2014 21:03	Skyper 1	…	skyper1
8/26/2014 21:03	Skyper 1	…	skyper1
8/26/2014 21:04	Skyper 1	…	skyper1
8/26/2014 21:10	Skyper 2	…	skyper2
8/26/2014 21:10	Skyper 1	…	skyper1
8/26/2014 21:12	Skyper 1	…	skyper1
8/26/2014 21:28	Skyper 2	…	skyper2
8/26/2014 21:28	Skyper 2	…	skyper2
8/26/2014 21:28	Skyper 1	…	skyper1
8/26/2014 21:33	Skyper 1	…	skyper1
8/26/2014 21:34	Skyper 1	…	skyper1
8/26/2014 21:35	Skyper 2	…	skyper2
8/26/2014 21:35	Skyper 1	…	skyper1
8/26/2014 21:38	Skyper 2	…	skyper2
8/26/2014 21:38	Skyper 2	…	skyper2
8/26/2014 21:38	Skyper 2	…	skyper2
8/26/2014 21:39	Skyper 2	…	skyper2
8/26/2014 21:39	Skyper 2	…	skyper2
8/26/2014 21:39	Skyper 2	…	skyper2
8/26/2014 21:40	Skyper 1	…	skyper1
8/26/2014 21:51	Skyper 2	…	skyper2
8/26/2014 21:51	Skyper 2	…	skyper2
8/26/2014 21:51	Skyper 2	…	skyper2
8/26/2014 21:52	Skyper 1	…	skyper1
8/26/2014 21:52	Skyper 2	…	skyper2
8/26/2014 21:52	Skyper 1	…	skyper1
8/26/2014 21:52	Skyper 2	…	skyper2
8/26/2014 21:53	Skyper 2	…	skyper2
8/26/2014 21:53	Skyper 2	…	skyper2
8/26/2014 21:53	Skyper 1	…	skyper1
8/26/2014 21:53	Skyper 1	…	skyper1
8/26/2014 21:55	Skyper 2	…	skyper2
8/26/2014 21:56	Skyper 1	…	skyper1
8/26/2014 21:57	Skyper 2	…	skyper2
8/26/2014 21:58	Skyper 2	…	skyper2
8/26/2014 21:59	Skyper 1	…	skyper1
8/26/2014 22:00	Skyper 1	…	skyper1
8/26/2014 22:00	Skyper 2	…	skyper2
8/26/2014 22:00	Skyper 1	…	skyper1
8/26/2014 22:01	Skyper 2	…	skyper2
8/26/2014 22:01	Skyper 1	…	skyper1
8/26/2014 22:01	Skyper 1	…	skyper1
8/26/2014 22:01	Skyper 1	…	skyper1
8/26/2014 22:05	Skyper 1	…	skyper1
8/26/2014 22:05	Skyper 2	…	skyper2
8/26/2014 22:05	Skyper 1	…	skyper1
8/26/2014 22:11	Skyper 2	…	skyper2
8/26/2014 22:11	Skyper 1	…	skyper1
8/26/2014 22:11	Skyper 1	…	skyper1
8/26/2014 22:11	Skyper 1	…	skyper1
8/26/2014 22:11	Skyper 2	…	skyper2
8/26/2014 22:11	Skyper 1	…	skyper1
8/26/2014 22:15	Skyper 2	…	skyper2
8/26/2014 22:15	Skyper 1	…	skyper1
8/26/2014 22:15	Skyper 2	…	skyper2
8/26/2014 22:15	Skyper 1	…	skyper1
8/26/2014 22:16	Skyper 1	…	skyper1
8/26/2014 22:16	Skyper 2	…	skyper2
8/26/2014 22:16	Skyper 1	…	skyper1
8/26/2014 22:16	Skyper 1	…	skyper1
8/26/2014 22:16	Skyper 2	…	skyper2
8/26/2014 22:16	Skyper 1	…	skyper1
8/26/2014 22:16	Skyper 2	…	skyper2
8/26/2014 22:17	Skyper 1	…	skyper1
8/26/2014 22:17	Skyper 1	…	skyper1
8/26/2014 22:18	Skyper 2	…	skyper2
8/26/2014 22:19	Skyper 1	…	skyper1
8/26/2014 22:19	Skyper 1	…	skyper1
8/26/2014 22:19	Skyper 2	…	skyper2
8/26/2014 22:19	Skyper 2	…	skyper2
8/26/2014 22:20	Skyper 1	…	skyper1
8/26/2014 22:20	Skyper 2	…	skyper2
8/26/2014 22:22	Skyper 1	…	skyper1
8/26/2014 22:22	Skyper 2	…	skyper2
8/26/2014 22:22	Skyper 1	…	skyper1
8/26/2014 22:22	Skyper 2	…	skyper2
8/26/2014 22:22	Skyper 1	…	skyper1
8/26/2014 22:22	Skyper 2	…	skyper2
8/26/2014 22:23	Skyper 1	…	skyper1
8/26/2014 22:24	Skyper 2	…	skyper2
8/26/2014 22:24	Skyper 2	…	skyper2
8/26/2014 22:24	Skyper 1	…	skyper1
8/26/2014 22:24	Skyper 1	…	skyper1
8/26/2014 22:24	Skyper 2	…	skyper2
8/26/2014 22:24	Skyper 2	…	skyper2
8/26/2014 22:24	Skyper 2	…	skyper2
8/26/2014 22:24	Skyper 2	…	skyper2
8/26/2014 22:25	Skyper 1	…	skyper1
8/26/2014 22:25	Skyper 1	…	skyper1
8/26/2014 22:25	Skyper 1	…	skyper1
8/26/2014 22:25	Skyper 1	…	skyper1
8/26/2014 22:26	Skyper 1	…	skyper1
8/26/2014 22:26	Skyper 1	…	skyper1
8/26/2014 22:28	Skyper 2	…	skyper2
8/26/2014 22:28	Skyper 2	…	skyper2
8/26/2014 22:28	Skyper 1	…	skyper1
8/26/2014 22:28	Skyper 1	…	skyper1
8/26/2014 22:28	Skyper 2	…	skyper2
8/26/2014 22:28	Skyper 2	…	skyper2
8/26/2014 22:29	Skyper 1	…	skyper1
8/26/2014 22:29	Skyper 2	…	skyper2
8/26/2014 22:29	Skyper 2	…	skyper2
8/26/2014 22:29	Skyper 1	…	skyper1
8/26/2014 22:29	Skyper 2	…	skyper2
8/26/2014 22:29	Skyper 1	…	skyper1
8/26/2014 22:29	Skyper 2	…	skyper2
8/26/2014 22:29	Skyper 2	…	skyper2
8/26/2014 22:30	Skyper 1	…	skyper1
8/26/2014 22:30	Skyper 1	…	skyper1
8/26/2014 22:35	Skyper 2	…	skyper2
8/26/2014 22:35	Skyper 1	…	skyper1
8/26/2014 22:35	Skyper 2	…	skyper2
8/26/2014 22:36	Skyper 2	…	skyper2
8/26/2014 22:37	Skyper 1	…	skyper1
8/26/2014 22:37	Skyper 1	…	skyper1
8/26/2014 22:38	Skyper 1	…	skyper1
